Measurement Method,Reliability Score,Rationale for Reliability Score,Reference
BDA (≥10 kDa),0.8,"High molecular weight BDA (≥10 kDa) primarily undergoes anterograde transport and can depict axonal terminals at Golgi-like resolution with minimal background staining and cytotoxicity, showing high reproducibility. However, signal attenuation occurs over long-distance pathways and requires optimization of survival periods. Given high but not perfect reliability, scored as 0.80.",https://pubmed.ncbi.nlm.nih.gov/1381034/
BDA (3 kDa),0.75,"Lower molecular weight BDA such as 3 kDa exhibits increased retrograde components, enabling bidirectional labeling from a single injection, but incorrect concentration or survival period can cause non-specific precipitation. High sensitivity but lower directional selectivity, scored as 0.75.",https://pubmed.ncbi.nlm.nih.gov/11074093/
Neurobiotin single-cell injection,0.85,"Juxtacellular/intracellular injection of Neurobiotin visualizes the entire axonal arbor of individual neurons with >90% success rate and strong signal. Dependent on operator expertise and subject to distance-dependent attenuation, but reliability is very high, scored as 0.85.",https://pubmed.ncbi.nlm.nih.gov/8740589/
CTB (non-fluorescent),0.78,"Non-fluorescent CTB demonstrates higher sensitivity and faster retrograde transport than HRP conjugates, with good signal retention over long distances. High sensitivity but strong intracellular accumulation makes quantification difficult, scored as 0.78.",https://pubmed.ncbi.nlm.nih.gov/7868356/
CTB (fluorescently labeled),0.7,"Fluorescent CTB enables simultaneous multiplex labeling but suffers from reported fluorescence quenching and reduced sensitivity, with excitation light scattering in deep tissue presenting challenges. Scored as 0.70.",https://pubmed.ncbi.nlm.nih.gov/19621243/
HRP,0.6,"HRP alone has low uptake efficiency with many false negatives. Improvements with auxiliary lectin conjugation are incomplete. Mixed directionality and high background. Scored as 0.60.",https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2019.00897/full
PHA-L,0.82,"PHA-L is a highly sensitive anterograde lectin that labels fine details clearly, but concerns exist regarding leakage outside the injection core and autofluorescence. Scored as 0.82.",https://pubmed.ncbi.nlm.nih.gov/6198041/
FluoroGold,0.65,"FluoroGold provides sharp retrograde fluorescence but neurotoxicity and Fos expression suppression have been reported, limiting long-term experiments. Scored as 0.65.",https://pubmed.ncbi.nlm.nih.gov/10837865/
Sindbis virus,0.4,"Sindbis vectors enable ultrafast expression and easy analysis but induce strong cytotoxicity and inflammation within 48-72 hours, with weak long-distance axonal labeling. Scored as 0.40.",https://pubmed.ncbi.nlm.nih.gov/11435592/
AAV1,0.6,"AAV1 achieves high titer and shows not only anterograde but also some retrograde spread, with trans-synaptic infection requiring careful interpretation. Moderate reliability, scored as 0.60.",https://pubmed.ncbi.nlm.nih.gov/27989459/
AAV-retro (rAAV2-retro),0.72,"rAAV2-retro enables efficient retrograde labeling. Pathway-dependent variability and neuronal type bias exist, but practical utility is high, scored as 0.72.",https://pubmed.ncbi.nlm.nih.gov/27720486/
Rabies ΔG monosynaptic,0.68,"ΔG rabies provides high-resolution input mapping with single-step retrograde specificity, but helper AAV expression and toxicity can result in incomplete labeling. Scored as 0.68.",https://pubmed.ncbi.nlm.nih.gov/17329205/
AAV9,0.65,"AAV9 exhibits bidirectional transport (both anterograde and retrograde) but efficiency is pathway-dependent, with high vascular transduction leading to off-target spread. Scored as 0.65.",https://pmc.ncbi.nlm.nih.gov/articles/PMC7556953/
PRV-Bartha,0.55,"PRV-Bartha is multisynaptic retrograde and can trace entire circuits, but infection control is difficult and toxicity is high. Scored as 0.55.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4165084/
HSV-1 H129,0.5,"HSV-1 H129 is predominantly anterograde but suffers from retrograde leakage and cytotoxicity. Even improved versions have limited safety margins, scored as 0.50.",https://pmc.ncbi.nlm.nih.gov/articles/PMC8099975/
CAV-2,0.7,"CAV-2 is CAR-dependent with excellent long-distance retrograde properties and low toxicity, but labeling efficiency varies with mammalian species differences and receptor expression. Scored as 0.70.",https://pmc.ncbi.nlm.nih.gov/articles/PMC7056889/
MAPseq,0.73,"MAPseq enables high-throughput parallel tracking of thousands of neurons using barcodes. However, viral infection efficiency and loss of spatial information through tissue dissociation are constraints. Scored as 0.73.",https://pubmed.ncbi.nlm.nih.gov/27545715/
BARseq,0.75,"BARseq extends MAPseq with in situ sequencing to preserve spatial information, reducing false negatives. Barcode analysis and FISH procedures are complex, but reliability is improved, scored as 0.75.",https://pubmed.ncbi.nlm.nih.gov/31626774/
CLARITY + immunostaining,0.6,"CLARITY enables comprehensive clearing and 3D observation with immunostaining. Antibody penetration and morphological distortion due to tissue expansion are sources of variability, with moderate reliability scored as 0.60.",https://pmc.ncbi.nlm.nih.gov/articles/PMC8121164/
iDISCO + light-sheet microscopy,0.58,"iDISCO is a solvent-based clearing method that enables rapid wide-area observation with fluorescence preservation, but requires correction for tissue shrinkage and fluorescence quenching. Scored as 0.58.",https://pubmed.ncbi.nlm.nih.gov/25417164/
DTI,0.45,"DTI is non-invasive and can measure the entire human brain with high reproducibility across broad regions, but tracking algorithms produce many false positives and lack directional information. Scored as 0.45.",https://pmc.ncbi.nlm.nih.gov/articles/PMC6777980/
fMRI,0.8,"fMRI demonstrates high reproducibility in large-scale subject samples with test-retest ICC reported as 0.6-0.8, but has limitations in spatial resolution and hemodynamic response delays. Scored as 0.80.",https://pmc.ncbi.nlm.nih.gov/articles/PMC9980889/
